vehicle_id,plate,journey_size,total_distance,total_moving,total_idle,counts,day
207756,AAA0010,40,550.966,45154,7798,33,2021-10-11 11:05:55.105787
207756,AAA0010,44,969.3,56375,7475,25,2021-10-11 11:05:55.105787
207756,AAA0010,53,2664.618,117051,10098,33,2021-10-11 11:05:55.105787
150653,AAA0007,73,208.649,10494,0,3,2021-10-11 11:05:55.105787
150653,AAA0007,75,126.186,7228,0,2,2021-10-11 11:05:55.105787
207756,AAA0010,23,293.946,52936,12070,79,2021-10-11 11:05:55.105787
207756,AAA0010,93,3244.782,168642,1128,34,2021-10-11 11:05:55.105787
207756,AAA0010,51,547.85,85450,15300,50,2021-10-11 11:05:55.105787
207756,AAA0010,97,2275.656,102888,7560,24,2021-10-11 11:05:55.105787
207756,AAA0010,133,2003.2949999999998,77028,6300,21,2021-10-11 11:05:55.105787
207756,AAA0010,87,1484.768,69529,3272,17,2021-10-11 11:05:55.105787
207756,AAA0010,68,879.822,41600,3624,13,2021-10-11 11:05:55.105787
207756,AAA0010,47,189.735,46242,0,21,2021-10-11 11:05:55.105787
207756,AAA0010,120,2000.901,89523,126,21,2021-10-11 11:05:55.105787
207756,AAA0010,38,158.475,8355,1170,5,2021-10-11 11:05:55.105787
207756,AAA0010,124,2134.3630000000003,114734,6482,19,2021-10-11 11:05:55.105787
207756,AAA0010,105,874.9739999999999,43624,2614,10,2021-10-11 11:05:55.105787
207756,AAA0010,109,1462.3,77812,1680,14,2021-10-11 11:05:55.105787
155905,AAA0009,67,11.838999999999999,3848,918,2,2021-10-11 11:05:55.105787
150653,AAA0007,82,70.718,3456,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,176,38.197,6170,0,1,2021-10-11 11:05:55.105787
207756,AAA0010,69,305.656,11916,1200,4,2021-10-11 11:05:55.105787
207756,AAA0010,63,171.267,9039,732,3,2021-10-11 11:05:55.105787
207756,AAA0010,95,476.625,24615,0,5,2021-10-11 11:05:55.105787
164573,AAA0008,136,73.161,10572,119,2,2021-10-11 11:05:55.105787
72880,AAA0006,4,1.0050000000000001,1100,23170,81,2021-10-11 11:05:55.105787
207756,AAA0010,4,0.004,0,600,2,2021-10-11 11:05:55.105787
164573,AAA0008,108,94.833,12655,120,3,2021-10-11 11:05:55.105787
164573,AAA0008,109,111.978,11070,0,2,2021-10-11 11:05:55.105787
164573,AAA0008,110,133.424,14709,128,3,2021-10-11 11:05:55.105787
150653,AAA0007,88,72.697,4187,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,114,54.370999999999995,9957,246,2,2021-10-11 11:05:55.105787
150653,AAA0007,119,132.062,6668,120,1,2021-10-11 11:05:55.105787
155905,AAA0009,122,27.951,7952,1445,2,2021-10-11 11:05:55.105787
150653,AAA0007,68,207.077,9925,0,3,2021-10-11 11:05:55.105787
164573,AAA0008,91,29.126,3991,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,122,58.244,9786,359,2,2021-10-11 11:05:55.105787
164573,AAA0008,96,47.618,7762,126,2,2021-10-11 11:05:55.105787
155905,AAA0009,86,22.490000000000002,8222,1462,3,2021-10-11 11:05:55.105787
72880,AAA0006,37,20.630000000000003,4785,1685,5,2021-10-11 11:05:55.105787
164573,AAA0008,124,129.00799999999998,10165,134,2,2021-10-11 11:05:55.105787
164573,AAA0008,88,67.394,10373,135,3,2021-10-11 11:05:55.105787
72880,AAA0006,39,245.08999999999997,54308,33652,80,2021-10-11 11:05:55.105787
155905,AAA0009,144,12.214,3737,240,1,2021-10-11 11:05:55.105787
72880,AAA0006,50,84.015,22061,8782,16,2021-10-11 11:05:55.105787
150653,AAA0007,161,142.868,7385,0,1,2021-10-11 11:05:55.105787
72880,AAA0006,30,361.63300000000004,39051,14746,47,2021-10-11 11:05:55.105787
150653,AAA0007,174,79.134,4646,125,1,2021-10-11 11:05:55.105787
155905,AAA0009,120,10.247,2861,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,110,30.137999999999998,11775,360,3,2021-10-11 11:05:55.105787
164573,AAA0008,149,46.444,5747,4,1,2021-10-11 11:05:55.105787
207756,AAA0010,110,848.078,50792,1498,7,2021-10-11 11:05:55.105787
207756,AAA0010,6,0.156,384,1452,6,2021-10-11 11:05:55.105787
164573,AAA0008,101,185.534,19006,0,3,2021-10-11 11:05:55.105787
155905,AAA0009,99,7.26,3158,360,1,2021-10-11 11:05:55.105787
72880,AAA0006,51,193.16,17570,3190,10,2021-10-11 11:05:55.105787
150653,AAA0007,2,0.16599999999999998,46,0,3,2021-10-11 11:05:55.105787
164573,AAA0008,118,22.105,3723,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,95,7.932,2494,359,1,2021-10-11 11:05:55.105787
155905,AAA0009,106,8.39,4154,119,1,2021-10-11 11:05:55.105787
164573,AAA0008,224,63.874,8605,119,1,2021-10-11 11:05:55.105787
164573,AAA0008,144,37.663,6707,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,87,15.562999999999999,4883,619,2,2021-10-11 11:05:55.105787
150653,AAA0007,85,35.828,3644,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,151,79.184,11525,300,2,2021-10-11 11:05:55.105787
